#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
0	0.0432875	1.78172e-208	1.04444e-45	1.70591e-163	N/S
0	0.531896	4.95038e-89	1.04444e-45	4.73975e-44	N/S
0	2.42482	1.04444e-45	1.04444e-45	1	*
1	0.0432875	7.21829e-172	1.25673e-40	5.74369e-132	N/S
1	0.531896	4.30276e-75	1.25673e-40	3.42377e-35	N/S
1	2.42482	1.25673e-40	1.25673e-40	1	*
2	0.0432875	4.50887e-268	2.5911e-56	1.74014e-212	N/S
2	0.531896	4.47045e-115	2.5911e-56	1.72531e-59	N/S
2	2.42482	2.5911e-56	2.5911e-56	1	*
3	0.0432875	2.61821e-164	8.24234e-39	3.17654e-126	N/S
3	0.531896	9.24616e-71	8.24234e-39	1.12179e-32	N/S
3	2.42482	8.24234e-39	8.24234e-39	1	*
4	0.0432875	7.57593e-183	7.27979e-41	1.04068e-142	N/S
4	0.531896	1.22881e-77	7.27979e-41	1.68797e-37	N/S
4	2.42482	7.27979e-41	7.27979e-41	1	*
5	0.0432875	7.94438e-223	5.35962e-44	1.48227e-179	N/S
5	0.531896	2.91503e-89	5.35962e-44	5.43888e-46	N/S
5	2.42482	5.35962e-44	5.35962e-44	1	*
6	0.0432875	2.38749e-147	1.87638e-36	1.27239e-111	N/S
6	0.531896	1.61682e-64	1.87638e-36	8.61672e-29	N/S
6	2.42482	1.87638e-36	1.87638e-36	1	*
7	0.0432875	8.28681e-145	1.55856e-35	5.31697e-110	N/S
7	0.531896	9.76707e-63	1.55856e-35	6.26673e-28	N/S
7	2.42482	1.55856e-35	1.55856e-35	1	*
8	0.0432875	1.61943e-158	1.17307e-37	1.3805e-121	N/S
8	0.531896	6.41613e-69	1.17307e-37	5.4695e-32	N/S
8	2.42482	1.17307e-37	1.17307e-37	1	*
9	0.0432875	3.30254e-199	6.95357e-41	4.74941e-159	N/S
9	0.531896	1.35502e-81	6.95357e-41	1.94867e-41	N/S
9	2.42482	6.95357e-41	6.95357e-41	1	*
10	0.0432875	5.24812e-132	1.63833e-33	3.20335e-99	N/S
10	0.531896	1.91316e-57	1.63833e-33	1.16775e-24	N/S
10	2.42482	1.63833e-33	1.63833e-33	1	*
11	0.0432875	2.79644e-165	1.05948e-36	2.63945e-129	N/S
11	0.531896	9.42132e-68	1.05948e-36	8.89241e-32	N/S
11	2.42482	1.05948e-36	1.05948e-36	1	*
12	0.0432875	7.33349e-148	2.12949e-35	3.44377e-113	N/S
12	0.531896	5.24418e-63	2.12949e-35	2.46265e-28	N/S
12	2.42482	2.12949e-35	2.12949e-35	1	*
13	0.0432875	1.87726e-167	3.28956e-38	5.70674e-130	N/S
13	0.531896	1.56817e-71	3.28956e-38	4.76711e-34	N/S
13	2.42482	3.28956e-38	3.28956e-38	1	*
14	0.0432875	3.43675e-123	2.39362e-32	1.4358e-91	N/S
14	0.531896	2.14186e-54	2.39362e-32	8.9482e-23	N/S
14	2.42482	2.39362e-32	2.39362e-32	1	*
15	0.0432875	5.8615e-221	1.51437e-62	3.87059e-159	N/S
15	0.531896	3.86935e-110	1.51437e-62	2.55509e-48	N/S
15	2.42482	1.51437e-62	1.51437e-62	1	*
16	0.0432875	5.56162e-162	3.1356e-36	1.7737e-126	N/S
16	0.531896	4.28243e-68	3.1356e-36	1.36575e-32	N/S
16	2.42482	3.1356e-36	3.1356e-36	1	*
17	0.0432875	1.81209e-294	5.21551e-53	3.47443e-242	N/S
17	0.531896	6.98429e-116	5.21551e-53	1.33914e-63	N/S
17	2.42482	5.21551e-53	5.21551e-53	1	*
18	0.0432875	4.30759e-110	1.92559e-30	2.23702e-80	N/S
18	0.531896	3.04186e-49	1.92559e-30	1.5797e-19	N/S
18	2.42482	1.92559e-30	1.92559e-30	1	*
19	0.0432875	2.61897e-129	5.07938e-32	5.15607e-98	N/S
19	0.531896	7.2894e-55	5.07938e-32	1.4351e-23	N/S
19	2.42482	5.07938e-32	5.07938e-32	1	*
20	0.0432875	3.40099e-187	1.60191e-39	2.12309e-148	N/S
20	0.531896	8.02454e-76	1.60191e-39	5.00936e-37	N/S
20	2.42482	1.60191e-39	1.60191e-39	1	*
21	0.0432875	4.94061e-246	4.33071e-57	1.14083e-189	N/S
21	0.531896	4.14991e-110	4.33071e-57	9.58252e-54	N/S
21	2.42482	4.33071e-57	4.33071e-57	1	*
22	0.0432875	1.39054e-124	9.04329e-32	1.53765e-93	N/S
22	0.531896	4.34561e-54	9.04329e-32	4.80534e-23	N/S
22	2.42482	9.04329e-32	9.04329e-32	1	*
23	0.0432875	1.81375e-193	1.23338e-47	1.47055e-146	N/S
23	0.531896	1.9807e-87	1.23338e-47	1.60591e-40	N/S
23	2.42482	1.23338e-47	1.23338e-47	1	*
24	0.0432875	1.71929e-79	2.38606e-26	7.20556e-54	N/S
24	0.531896	1.0011e-37	2.38606e-26	4.19561e-12	N/S
24	2.42482	2.38606e-26	2.38606e-26	1	*
25	0.0432875	5.42946e-82	1.67096e-26	3.2493e-56	N/S
25	0.531896	1.74785e-38	1.67096e-26	1.04601e-12	N/S
25	2.42482	1.67096e-26	1.67096e-26	1	*
26	0.0432875	2.75391e-82	2.13971e-26	1.28705e-56	N/S
26	0.531896	3.67442e-38	2.13971e-26	1.71725e-12	N/S
26	2.42482	2.13971e-26	2.13971e-26	1	*
27	0.0432875	1.18574e-80	1.03599e-25	1.14454e-55	N/S
27	0.531896	1.16854e-36	1.03599e-25	1.12795e-11	N/S
27	2.42482	1.03599e-25	1.03599e-25	1	*
28	0.0432875	3.01234e-78	1.17309e-25	2.56786e-53	N/S
28	0.531896	1.64961e-36	1.17309e-25	1.4062e-11	N/S
28	2.42482	1.17309e-25	1.17309e-25	1	*
29	0.0432875	2.89025e-82	1.80722e-26	1.59928e-56	N/S
29	0.531896	9.74629e-39	1.80722e-26	5.39298e-13	N/S
29	2.42482	1.80722e-26	1.80722e-26	1	*
30	0.0432875	1.13432e-86	2.53337e-26	4.4775e-61	N/S
30	0.531896	3.41922e-39	2.53337e-26	1.34967e-13	N/S
30	2.42482	2.53337e-26	2.53337e-26	1	*
31	0.0432875	3.77505e-114	1.89976e-32	1.98712e-82	N/S
31	0.531896	4.49474e-53	1.89976e-32	2.36595e-21	N/S
31	2.42482	1.89976e-32	1.89976e-32	1	*
32	0.0432875	1.07603e-100	1.7117e-28	6.28635e-73	N/S
32	0.531896	4.42343e-45	1.7117e-28	2.58423e-17	N/S
32	2.42482	1.7117e-28	1.7117e-28	1	*
33	0.0432875	6.48412e-91	8.5999e-29	7.53976e-63	N/S
33	0.531896	7.74081e-44	8.5999e-29	9.00104e-16	N/S
33	2.42482	8.5999e-29	8.5999e-29	1	*
34	0.0432875	1.88561e-98	3.93746e-30	4.7889e-69	N/S
34	0.531896	1.02302e-47	3.93746e-30	2.59816e-18	N/S
34	2.42482	3.93746e-30	3.93746e-30	1	*
35	0.0432875	2.07764e-71	1.43355e-24	1.4493e-47	N/S
35	0.531896	6.88085e-34	1.43355e-24	4.79986e-10	N/S
35	2.42482	1.43355e-24	1.43355e-24	1	*
36	0.0432875	1.18211e-212	2.37613e-54	4.97496e-159	N/S
36	0.531896	4.06009e-98	2.37613e-54	1.7087e-44	N/S
36	2.42482	2.37613e-54	2.37613e-54	1	*
37	0.0432875	7.32605e-109	9.84261e-28	7.44319e-82	N/S
37	0.531896	4.41358e-45	9.84261e-28	4.48416e-18	N/S
37	2.42482	9.84261e-28	9.84261e-28	1	*
38	0.0432875	5.07393e-114	6.79021e-29	7.47242e-86	N/S
38	0.531896	7.90951e-49	6.79021e-29	1.16484e-20	N/S
38	2.42482	6.79021e-29	6.79021e-29	1	*
39	0.0432875	5.76617e-145	2.1386e-32	2.69624e-113	N/S
39	0.531896	3.8862e-60	2.1386e-32	1.81717e-28	N/S
39	2.42482	2.1386e-32	2.1386e-32	1	*
40	0.0432875	5.64036e-72	2.14719e-24	2.62686e-48	N/S
40	0.531896	7.97531e-34	2.14719e-24	3.7143e-10	N/S
40	2.42482	2.14719e-24	2.14719e-24	1	*
41	0.0432875	1.85503e-61	2.83931e-23	6.53338e-39	N/S
41	0.531896	2.15446e-30	2.83931e-23	7.58797e-08	N/S
41	2.42482	2.83931e-23	2.83931e-23	1	*
42	0.0432875	1.50866e-204	1.72192e-44	8.7615e-161	N/S
42	0.531896	1.60013e-89	1.72192e-44	9.29273e-46	N/S
42	2.42482	1.72192e-44	1.72192e-44	1	*
43	0.0432875	1.43134e-61	2.97001e-23	4.81931e-39	N/S
43	0.531896	7.41308e-31	2.97001e-23	2.49598e-08	N/S
43	2.42482	2.97001e-23	2.97001e-23	1	*
44	0.0432875	4.67497e-64	3.95866e-23	1.18095e-41	N/S
44	0.531896	4.95696e-31	3.95866e-23	1.25218e-08	N/S
44	2.42482	3.95866e-23	3.95866e-23	1	*
45	0.0432875	1.05012e-180	2.44534e-54	4.29439e-127	N/S
45	0.531896	1.08789e-92	2.44534e-54	4.44882e-39	N/S
45	2.42482	2.44534e-54	2.44534e-54	1	*
46	0.0432875	3.16992e-132	4.10043e-33	7.73071e-100	N/S
46	0.531896	2.23726e-58	4.10043e-33	5.45616e-26	N/S
46	2.42482	4.10043e-33	4.10043e-33	1	*
47	0.0432875	2.5392e-56	2.57625e-22	9.85618e-35	N/S
47	0.531896	1.64697e-28	2.57625e-22	6.39289e-07	N/S
47	2.42482	2.57625e-22	2.57625e-22	0.999999	*
48	0.0432875	1.0503e-61	1.052e-23	9.98384e-39	N/S
48	0.531896	6.25946e-32	1.052e-23	5.95008e-09	N/S
48	2.42482	1.052e-23	1.052e-23	1	*
49	0.0432875	3.98455e-53	1.55185e-21	2.56761e-32	N/S
49	0.531896	4.7685e-27	1.55185e-21	3.07278e-06	N/S
49	2.42482	1.55185e-21	1.55185e-21	0.999997	*
50	0.0432875	3.84892e-49	3.38598e-21	1.13672e-28	N/S
50	0.531896	1.09318e-25	3.38598e-21	3.22855e-05	N/S
50	2.42482	3.38587e-21	3.38598e-21	0.999968	*
51	0.0432875	1.27585e-59	2.51226e-23	5.07852e-37	N/S
51	0.531896	4.67344e-31	2.51226e-23	1.86026e-08	N/S
51	2.42482	2.51226e-23	2.51226e-23	1	*
52	0.0432875	1.38939e-58	3.57152e-23	3.89018e-36	N/S
52	0.531896	8.70783e-31	3.57152e-23	2.43813e-08	N/S
52	2.42482	3.57152e-23	3.57152e-23	1	*
53	0.0432875	1.02388e-53	1.23911e-21	8.26306e-33	N/S
53	0.531896	1.02155e-27	1.23911e-21	8.2442e-07	N/S
53	2.42482	1.23911e-21	1.23911e-21	0.999999	*
54	0.0432875	1.5714e-77	1.24273e-23	1.26447e-54	N/S
54	0.531896	6.3159e-35	1.24273e-23	5.08227e-12	N/S
54	2.42482	1.24273e-23	1.24273e-23	1	*
