#FamilyID	pvalue	Significant at 0.05
0	0.839	n
1	0.995	n
2	0	y
3	0.995	n
4	0.298	n
5	0	y
6	0.986	n
7	0.65	n
8	0.006	y
9	0	y
10	0.602	n
11	0.021	y
12	0.006	y
13	0.001	y
14	0.221	n
15	0	y
16	0	y
17	0	y
18	0.217	n
19	0.162	n
20	0	y
21	0	y
22	0	y
23	0	y
24	0.997	n
25	0.938	n
26	0.994	n
27	0.933	n
28	0.852	n
29	0.216	n
30	0.299	n
31	0	y
32	0	y
33	0.001	y
34	0	y
35	0.926	n
36	0	y
37	0.011	y
38	0	y
39	0	y
40	0.215	n
41	0.989	n
42	0	y
43	0.652	n
44	0.636	n
45	0	y
46	0	y
47	0.906	n
48	0.025	y
49	0.874	n
50	0.996	n
51	0.034	y
52	0.027	y
53	0.532	n
54	0.003	y
55	0.483	n
56	0.997	n
57	0.379	n
58	0	y
59	0	y
60	0.081	n
61	0.865	n
62	0.361	n
63	0	y
64	0.459	n
65	0	y
66	0	y
67	0.733	n
68	0	y
69	0.02	y
70	0.987	n
71	0	y
72	0	y
73	0	y
74	0.304	n
75	0.95	n
76	0	y
77	0	y
78	0.654	n
79	0	y
80	0.553	n
81	0.245	n
82	0.879	n
83	0.056	n
84	0.795	n
85	0.982	n
86	0.999	n
87	0.046	y
88	0.004	y
89	0.119	n
90	0.954	n
91	0.87	n
92	0.003	y
93	0.013	y
94	0.043	y
95	0.371	n
96	0	y
97	0	y
98	0.717	n
99	0.149	n
100	0.588	n
101	0	y
102	0.248	n
103	0	y
104	0.501	n
105	0	y
106	0.999	n
107	0.647	n
108	0.08	n
109	0	y
110	0.279	n
111	0.996	n
112	0.132	n
113	0.816	n
114	0.341	n
115	0	y
116	0.001	y
117	0.003	y
118	0	y
119	0	y
120	0.162	n
121	0.421	n
122	0	y
123	0.753	n
124	0.906	n
125	0	y
126	0.988	n
128	0.699	n
129	0.758	n
130	0	y
131	0.982	n
132	0.947	n
133	0	y
134	0.991	n
135	0.928	n
136	0.962	n
137	0.223	n
138	0	y
139	0.762	n
140	0.166	n
141	0.256	n
142	0.017	y
143	0.764	n
144	0.993	n
145	0	y
146	0	y
147	0.141	n
148	0.187	n
149	0.167	n
150	0	y
151	0.974	n
152	0.856	n
153	0.16	n
154	0.985	n
155	0	y
156	0.985	n
157	0.018	y
158	0.963	n
159	0.326	n
160	0.422	n
161	0	y
162	0.001	y
163	0	y
164	0.419	n
165	0.211	n
166	0.975	n
167	0.894	n
168	0.899	n
169	0.023	y
170	0	y
171	0.999	n
172	0	y
173	0	y
174	0.056	n
175	0.947	n
176	0.712	n
177	0.974	n
178	0.931	n
179	0	y
180	0.279	n
181	0.001	y
182	0.636	n
183	0.472	n
184	0.985	n
185	0	y
186	0.477	n
187	0.841	n
188	0	y
189	0.938	n
190	0.031	y
191	0.72	n
192	0.016	y
193	0.745	n
194	0.001	y
195	0.408	n
196	0.848	n
197	0.994	n
198	0.164	n
200	0	y
201	0.001	y
202	0.002	y
203	0.377	n
204	0.87	n
205	0	y
206	0.999	n
207	0.971	n
208	0.578	n
209	0.92	n
210	0.972	n
211	0.994	n
212	0.454	n
213	0.938	n
214	0.009	y
215	0.98	n
216	0.995	n
217	0	y
218	0.645	n
219	0.993	n
220	0.848	n
221	0.179	n
222	0.302	n
223	0	y
224	0.93	n
225	0.398	n
226	0.682	n
227	0.06	n
228	0.332	n
229	0.784	n
231	0.674	n
232	0.931	n
233	0.586	n
234	0.768	n
235	0.72	n
236	0.988	n
237	0.935	n
238	0.103	n
239	0.016	y
240	0.517	n
241	0	y
242	0.095	n
243	0.289	n
244	0	y
245	0.173	n
246	0.995	n
247	0.999	n
248	0.97	n
249	0.974	n
250	0.609	n
251	0	y
252	0.973	n
253	0.073	n
254	0.989	n
255	0.999	n
256	0.865	n
257	0	y
258	0.907	n
259	0.011	y
260	0.998	n
261	0.761	n
262	0.904	n
263	0.999	n
265	0.892	n
266	0.738	n
267	0.982	n
268	0.248	n
269	0.989	n
270	0.287	n
271	0.182	n
272	0.94	n
273	0.733	n
274	0.183	n
275	0.605	n
276	0.797	n
277	0.608	n
278	0.907	n
279	0.832	n
280	0.882	n
281	0.035	y
282	0.995	n
283	0.244	n
285	0.362	n
286	0	y
287	0	y
288	0.006	y
289	0.032	y
290	0	y
291	0.008	y
292	0.999	n
293	0.008	y
294	0.987	n
295	0.166	n
296	0	y
297	0.81	n
