FamilyID	TaxonID	Count	Change	Pvalue
2	cow	49	5	0.125333
2	18	41	-4	0.219156
2	21	45	-6	0.0220907
2	cat	37	-7	0.0302464
2	horse	41	-3	0.403421
2	13	42	1	0.40846
2	9	44	2	0.106378
2	7	44	0	0.641379
2	19	44	-1	0.677086
2	3	52	8	9.0213e-08
2	15	44	0	0.72591
2	chimp	51	-1	0.389179
2	baboon	39	0	0.710157
2	20	69	18	0.000112453
2	gibbon	45	1	0.383282
2	8	39	-3	0.0468176
2	rat	67	-2	0.55859
2	mouse	79	10	0.00171202
2	human	76	24	4.18038e-32
2	orang	41	-3	0.0241603
2	macaque	36	-3	0.00196093
2	marmoset	37	-4	0.110604
4	cow	55	4	0.247057
4	18	47	-4	0.248169
4	21	51	-2	0.51754
4	cat	51	0	0.94356
4	horse	50	-1	0.832149
4	13	46	-1	0.641944
4	9	45	-1	0.472679
4	7	45	0	0.643808
4	19	51	0	0.894196
4	3	43	-2	0.0501429
4	15	51	0	0.745365
4	chimp	43	0	0.719335
4	baboon	53	5	6.08248e-05
4	20	58	5	0.221757
4	gibbon	44	-1	0.600718
4	8	48	2	0.172465
4	rat	59	1	0.647203
4	mouse	58	0	0.926633
4	human	43	0	0.719335
4	orang	47	2	0.106503
4	macaque	47	-1	0.377045
4	marmoset	46	-1	0.761388
5	cow	50	2	0.525877
5	18	40	-8	0.0103021
5	21	48	-6	0.0258007
5	cat	43	-5	0.169498
5	horse	49	1	0.71548
5	13	41	1	0.402721
5	9	41	0	0.776339
5	7	41	0	0.633919
5	19	48	0	0.890602
5	3	41	0	0.766587
5	15	48	0	0.737376
5	chimp	40	-1	0.33546
5	baboon	44	0	0.725939
5	20	71	17	0.000256906
5	gibbon	31	-10	1.99051e-08
5	8	44	3	0.0814991
5	rat	79	8	0.0127109
5	mouse	70	-1	0.804727
5	human	43	2	0.0508081
5	orang	43	2	0.0937025
5	macaque	46	2	0.059098
5	marmoset	33	-7	0.00270755
8	cow	45	-1	0.828806
8	18	45	-1	0.806598
8	21	46	1	0.614073
8	cat	48	2	0.503189
8	horse	46	0	0.940505
8	13	44	-1	0.634201
8	9	44	0	0.785212
8	7	44	0	0.641379
8	19	46	0	0.887987
8	3	44	0	0.775631
8	15	46	0	0.731765
8	chimp	47	3	0.00632239
8	baboon	44	2	0.0550272
8	20	43	-2	0.65706
8	gibbon	44	0	0.85213
8	8	42	-2	0.269883
8	rat	46	3	0.172485
8	mouse	39	-4	0.116982
8	human	40	-4	0.000200902
8	orang	45	1	0.34059
8	macaque	37	-5	1.16059e-05
8	marmoset	46	1	0.604112
9	cow	39	-2	0.592968
9	18	48	6	0.053512
9	21	42	2	0.338409
9	cat	40	-1	0.812753
9	horse	42	1	0.692823
9	13	40	-8	1.9992e-05
9	9	35	-5	7.29792e-05
9	7	35	0	0.618191
9	19	41	-1	0.665883
9	3	33	-2	0.0330863
9	15	41	0	0.716646
9	chimp	33	0	0.685385
9	baboon	43	2	0.0530118
9	20	36	-4	0.313904
9	gibbon	30	-5	0.000569863
9	8	41	1	0.402663
9	rat	34	-2	0.415844
9	mouse	36	0	0.905714
9	human	33	0	0.685385
9	orang	36	1	0.290004
9	macaque	40	-1	0.341479
9	marmoset	83	35	5.00975e-22
10	cow	40	-1	0.81864
10	18	41	0	0.930707
10	21	41	0	0.914989
10	cat	42	1	0.692823
10	horse	43	2	0.477903
10	13	40	-1	0.617098
10	9	40	0	0.773197
10	7	40	0	0.631374
10	19	41	0	0.880505
10	3	38	-2	0.0413901
10	15	41	0	0.716646
10	chimp	38	0	0.703267
10	baboon	41	1	0.155504
10	20	40	-1	0.841786
10	gibbon	42	2	0.116694
10	8	40	0	0.859419
10	rat	38	-2	0.440495
10	mouse	41	1	0.579686
10	human	36	-2	0.0187695
10	orang	42	2	0.090507
10	macaque	38	-2	0.0215878
10	marmoset	43	2	0.33132
11	cow	46	6	0.0791026
11	18	37	-3	0.337252
11	21	40	-3	0.261031
11	cat	33	-7	0.023372
11	horse	41	1	0.689125
11	13	36	-1	0.597408
11	9	36	0	0.759605
11	7	36	0	0.62089
11	19	40	0	0.878816
11	3	36	0	0.749638
11	15	40	0	0.713423
11	chimp	33	-3	0.00145949
11	baboon	37	1	0.141296
11	20	52	9	0.0249667
11	gibbon	34	-2	0.18669
11	8	36	0	0.850282
11	rat	48	-4	0.152515
11	mouse	61	9	0.00133938
11	human	39	3	0.00379876
11	orang	36	0	0.81295
11	macaque	35	-1	0.313134
11	marmoset	37	0	0.907603
12	cow	42	2	0.486605
12	18	41	1	0.660885
12	21	40	0	0.913875
12	cat	42	2	0.472377
12	horse	37	-3	0.3807
12	13	39	-2	0.253631
12	9	38	-1	0.434378
12	7	38	0	0.626194
12	19	40	0	0.878816
12	3	38	0	0.756719
12	15	40	0	0.713423
12	chimp	37	-1	0.318897
12	baboon	37	-3	0.00210162
12	20	39	-1	0.839812
12	gibbon	36	-2	0.197719
12	8	40	1	0.396777
12	rat	37	-2	0.434613
12	mouse	40	1	0.574721
12	human	41	3	0.00436545
12	orang	37	-1	0.526953
12	macaque	46	6	1.457e-06
12	marmoset	46	5	0.0451176
13	cow	40	2	0.475195
13	18	35	-4	0.187306
13	21	39	-5	0.0381362
13	cat	37	-1	0.805485
13	horse	36	-2	0.566024
13	13	33	-2	0.218358
13	9	33	0	0.748217
13	7	33	0	0.612696
13	19	38	-1	0.653428
13	3	33	0	0.738182
13	15	38	0	0.706762
13	chimp	31	-2	0.0145375
13	baboon	35	3	0.00300017
13	20	57	13	0.00215611
13	gibbon	33	0	0.823948
13	8	32	-1	0.574412
13	rat	56	-1	0.78213
13	mouse	65	8	0.00588382
13	human	35	2	0.0358727
13	orang	33	0	0.80291
13	macaque	27	-5	3.09651e-06
13	marmoset	36	1	0.555107
14	cow	39	1	0.691028
14	18	38	0	0.92793
14	21	38	1	0.577048
14	cat	41	3	0.288373
14	horse	37	-1	0.805485
14	13	38	0	0.855079
14	9	38	0	0.766614
14	7	38	0	0.626194
14	19	38	0	0.875208
14	3	37	-1	0.410672
14	15	38	0	0.706762
14	chimp	37	0	0.699843
14	baboon	38	-1	0.330456
14	20	36	-1	0.833414
14	gibbon	38	0	0.838431
14	8	39	1	0.390738
14	rat	38	2	0.297585
14	mouse	33	-3	0.205519
14	human	33	-4	0.000104871
14	orang	41	3	0.0361513
14	macaque	41	2	0.0490263
14	marmoset	38	0	0.908907
15	cow	31	-2	0.550547
15	18	36	2	0.39279
15	21	34	0	0.90611
15	cat	35	2	0.42824
15	horse	30	-3	0.334245
15	13	35	-1	0.592007
15	9	35	0	0.75593
15	7	36	1	0.0714127
15	19	33	-1	0.629186
15	3	39	3	0.0104271
15	15	33	0	0.68877
15	chimp	33	-6	3.31038e-07
15	baboon	34	0	0.692557
15	20	35	1	0.714407
15	gibbon	30	-5	0.000569863
15	8	34	-1	0.586343
15	rat	33	-2	0.409181
15	mouse	37	2	0.290871
15	human	78	39	1.8068e-60
15	orang	36	0	0.81295
15	macaque	34	0	0.692557
15	marmoset	39	3	0.139572
16	cow	29	-3	0.342253
16	18	40	7	0.0116876
16	21	33	1	0.547804
16	cat	32	0	0.928298
16	horse	31	-1	0.787987
16	13	36	-4	0.00997398
16	9	33	-3	0.00527984
16	7	33	0	0.612696
16	19	32	-1	0.623705
16	3	33	0	0.738182
16	15	32	0	0.684926
16	chimp	31	-2	0.0145375
16	baboon	42	5	1.902e-05
16	20	28	-4	0.26013
16	gibbon	30	-3	0.0192238
16	8	37	1	0.378184
16	rat	27	-1	0.689655
16	mouse	27	-1	0.689655
16	human	39	6	4.34129e-07
16	orang	32	-1	0.495383
16	macaque	35	-2	0.0187864
16	marmoset	65	25	2.27751e-15
17	cow	58	10	0.0071531
17	18	19	-26	1.4475e-16
17	21	45	-6	0.0220907
17	cat	33	-15	8.43203e-06
17	horse	72	24	3.54171e-09
17	13	14	-5	8.32886e-05
17	9	13	-1	0.218237
17	7	13	0	0.549866
17	19	48	3	0.0835813
17	3	15	2	0.0144876
17	15	48	0	0.737376
17	chimp	15	0	0.601812
17	baboon	12	-2	0.00296734
17	20	68	17	0.000177493
17	gibbon	6	-7	3.29739e-09
17	8	14	0	0.740744
17	rat	84	16	2.10506e-06
17	mouse	62	-6	0.0391494
17	human	23	8	2.32353e-12
17	orang	13	0	0.68368
17	macaque	15	1	0.0571774
17	marmoset	18	-1	0.625807
18	cow	36	2	0.449955
18	18	35	1	0.633468
18	21	34	0	0.90611
18	cat	35	1	0.663742
18	horse	33	-1	0.794333
18	13	34	-1	0.586392
18	9	34	0	0.752136
18	7	34	0	0.61546
18	19	34	0	0.866896
18	3	33	-1	0.384941
18	15	34	0	0.69253
18	chimp	34	1	0.127154
18	baboon	33	-1	0.301031
18	20	33	-1	0.826183
18	gibbon	37	3	0.0419605
18	8	34	0	0.84503
18	rat	34	1	0.540825
18	mouse	31	-2	0.395184
18	human	29	-4	6.76848e-05
18	orang	34	0	0.8064
18	macaque	35	1	0.134056
18	marmoset	37	2	0.293343
19	cow	42	6	0.0645209
19	18	30	-5	0.0544798
19	21	35	-2	0.437366
19	cat	33	-3	0.355322
19	horse	36	0	0.932528
19	13	30	0	0.832819
19	9	30	0	0.735662
19	7	30	0	0.604205
19	19	36	1	0.430446
19	3	32	2	0.0588069
19	15	36	0	0.699803
19	chimp	32	0	0.68157
19	baboon	30	-1	0.281989
19	20	42	5	0.144258
19	gibbon	24	-6	3.1184e-05
19	8	31	1	0.336303
19	rat	44	2	0.334624
19	mouse	42	0	0.913134
19	human	32	0	0.68157
19	orang	29	-1	0.473573
19	macaque	32	1	0.123032
19	marmoset	28	-2	0.374828
20	cow	61	29	8.02051e-14
20	18	34	2	0.378259
20	21	32	1	0.541213
20	cat	22	-9	0.00136587
20	horse	24	-7	0.0106976
20	13	33	-1	0.580548
20	9	30	-3	0.00420418
20	7	30	0	0.604205
20	19	32	0	0.862066
20	3	30	0	0.725623
20	15	31	-1	0.288414
20	chimp	24	-6	6.8135e-08
20	baboon	38	0	0.70679
20	20	29	-2	0.591585
20	gibbon	27	-3	0.0154101
20	8	38	5	0.00209682
20	rat	26	-3	0.160112
20	mouse	32	3	0.100932
20	human	38	8	2.89194e-10
20	orang	29	-1	0.473573
20	macaque	42	4	0.000352889
20	marmoset	37	3	0.129141
21	cow	52	14	6.92419e-05
21	18	20	-15	5.93047e-08
21	21	35	-3	0.23224
21	cat	34	-4	0.221708
21	horse	40	2	0.460791
21	13	20	0	0.786758
21	9	20	0	0.683312
21	7	20	0	0.5736
21	19	38	3	0.0952025
21	3	23	3	0.00234466
21	15	38	0	0.706762
21	chimp	22	-1	0.220669
21	baboon	23	3	0.000841195
21	20	47	9	0.0173619
21	gibbon	13	-7	1.94523e-07
21	8	20	0	0.786728
21	rat	59	12	2.92815e-05
21	mouse	42	-5	0.0382512
21	human	47	24	1.5776e-38
21	orang	19	-1	0.379545
21	macaque	17	-3	0.000289366
21	marmoset	16	-4	0.0140714
22	cow	25	-3	0.30987
22	18	33	4	0.0864621
22	21	29	-1	0.709527
22	cat	27	-1	0.773307
22	horse	27	-1	0.773307
22	13	32	-1	0.574462
22	9	31	-1	0.38845
22	7	31	0	0.607069
22	19	28	-1	0.599133
22	3	32	1	0.173647
22	15	28	0	0.668654
22	chimp	31	-1	0.282906
22	baboon	31	-1	0.288458
22	20	31	1	0.696445
22	gibbon	26	-5	0.000341659
22	8	32	0	0.839229
22	rat	33	2	0.262295
22	mouse	29	-2	0.380213
22	human	40	8	4.62124e-10
22	orang	31	0	0.795454
22	macaque	34	2	0.0356639
22	marmoset	42	9	0.000132461
23	cow	30	0	0.928298
23	18	24	-6	0.0146234
23	21	30	-4	0.0564657
23	cat	24	-6	0.0245405
23	horse	36	6	0.0374631
23	13	24	0	0.808582
23	9	23	-1	0.32383
23	7	23	0	0.583171
23	19	30	0	0.85668
23	3	25	2	0.0386351
23	15	30	0	0.676974
23	chimp	22	-3	0.000516616
23	baboon	24	-1	0.240412
23	20	46	12	0.00144338
23	gibbon	18	-5	9.04981e-05
23	8	25	1	0.287072
23	rat	44	-2	0.472414
23	mouse	55	9	0.000737333
23	human	45	20	7.33523e-31
23	orang	22	-1	0.411846
23	macaque	28	3	0.00155282
23	marmoset	22	-2	0.321021
29	cow	27	-1	0.780409
29	18	28	0	0.915483
29	21	28	1	0.51176
29	cat	31	3	0.216666
29	horse	26	-2	0.50256
29	13	28	0	0.825648
29	9	28	0	0.726571
29	7	28	0	0.598374
29	19	28	0	0.850636
29	3	26	-2	0.022449
29	15	28	0	0.668654
29	chimp	26	0	0.656829
29	baboon	29	0	0.672888
29	20	25	-2	0.564828
29	gibbon	30	2	0.070714
29	8	29	1	0.320777
29	rat	26	1	0.480493
29	mouse	24	-1	0.671685
29	human	22	-4	2.66053e-05
29	orang	28	0	0.782937
29	macaque	29	0	0.672888
29	marmoset	28	0	0.892557
30	cow	26	-2	0.516298
30	18	26	-1	0.747518
30	21	27	0	0.893627
30	cat	35	7	0.012293
30	horse	28	0	0.923153
30	13	26	0	0.817618
30	9	26	0	0.716846
30	7	26	0	0.592402
30	19	28	1	0.370109
30	3	26	0	0.706932
30	15	28	0	0.668654
30	chimp	23	-3	0.000578961
30	baboon	24	-1	0.240412
30	20	26	-1	0.804819
30	gibbon	28	2	0.0632603
30	8	25	-1	0.523524
30	rat	29	3	0.0850227
30	mouse	23	-3	0.139194
30	human	26	0	0.656829
30	orang	26	0	0.773576
30	macaque	26	1	0.100409
30	marmoset	26	0	0.888058
31	cow	25	0	0.921176
31	18	25	0	0.910268
31	21	25	-1	0.688097
31	cat	24	-1	0.760051
31	horse	25	0	0.918469
31	13	25	0	0.813236
31	9	25	0	0.71173
31	7	26	1	0.0513386
31	19	25	0	0.840047
31	3	27	1	0.148296
31	15	25	0	0.655442
31	chimp	27	0	0.661184
31	baboon	25	2	0.0203811
31	20	30	4	0.15794
31	gibbon	23	-2	0.0595313
31	8	23	-2	0.151525
31	rat	35	5	0.0204379
31	mouse	28	-2	0.37233
31	human	30	3	0.00177717
31	orang	28	2	0.0999164
31	macaque	14	-9	1.2251e-13
31	marmoset	27	2	0.216062
32	cow	34	9	0.00120814
32	18	25	0	0.910268
32	21	25	0	0.889009
32	cat	21	-4	0.133747
32	horse	24	-1	0.760051
32	13	25	0	0.813236
32	9	25	0	0.71173
32	7	25	0	0.589362
32	19	25	0	0.840047
32	3	25	0	0.701875
32	15	25	0	0.655442
32	chimp	25	0	0.652375
32	baboon	26	-1	0.254818
32	20	24	-1	0.797111
32	gibbon	24	-1	0.474304
32	8	27	2	0.0779581
32	rat	25	1	0.471266
32	mouse	23	-1	0.664966
32	human	22	-3	0.000516616
32	orang	27	2	0.0946723
32	macaque	35	8	1.66197e-10
32	marmoset	23	-2	0.330851
33	cow	25	0	0.921176
33	18	25	0	0.910268
33	21	25	0	0.889009
33	cat	26	1	0.610543
33	horse	24	-1	0.760051
33	13	25	0	0.813236
33	9	25	0	0.71173
33	7	25	0	0.589362
33	19	25	0	0.840047
33	3	23	-2	0.0183272
33	15	25	0	0.655442
33	chimp	23	0	0.643161
33	baboon	24	-3	0.000697223
33	20	26	1	0.668379
33	gibbon	24	-1	0.474304
33	8	27	2	0.0779581
33	rat	26	0	0.887403
33	mouse	26	0	0.887403
33	human	23	0	0.643161
33	orang	26	1	0.22276
33	macaque	35	8	1.66197e-10
33	marmoset	26	1	0.48282
34	cow	24	-1	0.767559
34	18	25	0	0.910268
34	21	25	0	0.889009
34	cat	25	0	0.918469
34	horse	25	0	0.918469
34	13	25	0	0.813236
34	9	24	-1	0.332743
34	7	24	0	0.586285
34	19	25	0	0.840047
34	3	25	1	0.137815
34	15	25	0	0.655442
34	chimp	24	-1	0.235446
34	baboon	24	-2	0.0098275
34	20	25	0	0.931673
34	gibbon	23	-1	0.46488
34	8	26	1	0.295845
34	rat	25	0	0.884906
34	mouse	26	1	0.480493
34	human	34	9	2.07808e-12
34	orang	22	-2	0.0412386
34	macaque	30	4	8.9331e-05
34	marmoset	25	0	0.88558
36	cow	17	-6	0.0136395
36	18	26	1	0.576295
36	21	25	-2	0.362461
36	cat	13	-10	3.42861e-05
36	horse	35	12	1.71601e-05
36	13	24	-2	0.158669
36	9	19	-5	6.42991e-06
36	7	19	0	0.570332
36	19	23	-2	0.200844
36	3	19	0	0.667826
36	15	23	0	0.646115
36	chimp	11	-8	1.03039e-12
36	baboon	26	0	0.659973
36	20	33	6	0.0625088
36	gibbon	12	-7	1.37208e-07
36	8	26	2	0.0734307
36	rat	33	0	0.901199
36	mouse	35	2	0.276936
36	human	40	21	6.08232e-34
