#FamilyID	human<0>	chimp<1>	orang<2>	<3>	baboon<4>	macaque<5>	gibbon<6>	<7>	<8>	<9>	horse<10>	cat<11>	marmoset<12>	<13>	cow<14>	<15>	mouse<16>	rat<17>	<18>	<19>	<20>	<21>	<22>	
2	4.18038e-32	0.389179	0.0241603	9.0213e-08	0.710157	0.00196093	0.383282	0.641379	0.0468176	0.106378	0.403421	0.0302464	0.110604	0.40846	0.125333	0.72591	0.00171202	0.55859	0.219156	0.677086	0.000112453	0.0220907	N/A
4	0.719335	0.719335	0.106503	0.0501429	6.08248e-05	0.377045	0.600718	0.643808	0.172465	0.472679	0.832149	0.94356	0.761388	0.641944	0.247057	0.745365	0.926633	0.647203	0.248169	0.894196	0.221757	0.51754	N/A
5	0.0508081	0.33546	0.0937025	0.766587	0.725939	0.059098	1.99051e-08	0.633919	0.0814991	0.776339	0.71548	0.169498	0.00270755	0.402721	0.525877	0.737376	0.804727	0.0127109	0.0103021	0.890602	0.000256906	0.0258007	N/A
8	0.000200902	0.00632239	0.34059	0.775631	0.0550272	1.16059e-05	0.85213	0.641379	0.269883	0.785212	0.940505	0.503189	0.604112	0.634201	0.828806	0.731765	0.116982	0.172485	0.806598	0.887987	0.65706	0.614073	N/A
9	0.685385	0.685385	0.290004	0.0330863	0.0530118	0.341479	0.000569863	0.618191	0.402663	7.29792e-05	0.692823	0.812753	5.00975e-22	1.9992e-05	0.592968	0.716646	0.905714	0.415844	0.053512	0.665883	0.313904	0.338409	N/A
10	0.0187695	0.703267	0.090507	0.0413901	0.155504	0.0215878	0.116694	0.631374	0.859419	0.773197	0.477903	0.692823	0.33132	0.617098	0.81864	0.716646	0.579686	0.440495	0.930707	0.880505	0.841786	0.914989	N/A
11	0.00379876	0.00145949	0.81295	0.749638	0.141296	0.313134	0.18669	0.62089	0.850282	0.759605	0.689125	0.023372	0.907603	0.597408	0.0791026	0.713423	0.00133938	0.152515	0.337252	0.878816	0.0249667	0.261031	N/A
12	0.00436545	0.318897	0.526953	0.756719	0.00210162	1.457e-06	0.197719	0.626194	0.396777	0.434378	0.3807	0.472377	0.0451176	0.253631	0.486605	0.713423	0.574721	0.434613	0.660885	0.878816	0.839812	0.913875	N/A
13	0.0358727	0.0145375	0.80291	0.738182	0.00300017	3.09651e-06	0.823948	0.612696	0.574412	0.748217	0.566024	0.805485	0.555107	0.218358	0.475195	0.706762	0.00588382	0.78213	0.187306	0.653428	0.00215611	0.0381362	N/A
14	0.000104871	0.699843	0.0361513	0.410672	0.330456	0.0490263	0.838431	0.626194	0.390738	0.766614	0.805485	0.288373	0.908907	0.855079	0.691028	0.706762	0.205519	0.297585	0.92793	0.875208	0.833414	0.577048	N/A
15	1.8068e-60	3.31038e-07	0.81295	0.0104271	0.692557	0.692557	0.000569863	0.0714127	0.586343	0.75593	0.334245	0.42824	0.139572	0.592007	0.550547	0.68877	0.290871	0.409181	0.39279	0.629186	0.714407	0.90611	N/A
16	4.34129e-07	0.0145375	0.495383	0.738182	1.902e-05	0.0187864	0.0192238	0.612696	0.378184	0.00527984	0.787987	0.928298	2.27751e-15	0.00997398	0.342253	0.684926	0.689655	0.689655	0.0116876	0.623705	0.26013	0.547804	N/A
17	2.32353e-12	0.601812	0.68368	0.0144876	0.00296734	0.0571774	3.29739e-09	0.549866	0.740744	0.218237	3.54171e-09	8.43203e-06	0.625807	8.32886e-05	0.0071531	0.737376	0.0391494	2.10506e-06	1.4475e-16	0.0835813	0.000177493	0.0220907	N/A
18	6.76848e-05	0.127154	0.8064	0.384941	0.301031	0.134056	0.0419605	0.61546	0.84503	0.752136	0.794333	0.663742	0.293343	0.586392	0.449955	0.69253	0.395184	0.540825	0.633468	0.866896	0.826183	0.90611	N/A
19	0.68157	0.68157	0.473573	0.0588069	0.281989	0.123032	3.1184e-05	0.604205	0.336303	0.735662	0.932528	0.355322	0.374828	0.832819	0.0645209	0.699803	0.913134	0.334624	0.0544798	0.430446	0.144258	0.437366	N/A
20	2.89194e-10	6.8135e-08	0.473573	0.725623	0.70679	0.000352889	0.0154101	0.604205	0.00209682	0.00420418	0.0106976	0.00136587	0.129141	0.580548	8.02051e-14	0.288414	0.100932	0.160112	0.378259	0.862066	0.591585	0.541213	N/A
21	1.5776e-38	0.220669	0.379545	0.00234466	0.000841195	0.000289366	1.94523e-07	0.5736	0.786728	0.683312	0.460791	0.221708	0.0140714	0.786758	6.92419e-05	0.706762	0.0382512	2.92815e-05	5.93047e-08	0.0952025	0.0173619	0.23224	N/A
22	4.62124e-10	0.282906	0.795454	0.173647	0.288458	0.0356639	0.000341659	0.607069	0.839229	0.38845	0.773307	0.773307	0.000132461	0.574462	0.30987	0.668654	0.380213	0.262295	0.0864621	0.599133	0.696445	0.709527	N/A
23	7.33523e-31	0.000516616	0.411846	0.0386351	0.240412	0.00155282	9.04981e-05	0.583171	0.287072	0.32383	0.0374631	0.0245405	0.321021	0.808582	0.928298	0.676974	0.000737333	0.472414	0.0146234	0.85668	0.00144338	0.0564657	N/A
29	2.66053e-05	0.656829	0.782937	0.022449	0.672888	0.672888	0.070714	0.598374	0.320777	0.726571	0.50256	0.216666	0.892557	0.825648	0.780409	0.668654	0.671685	0.480493	0.915483	0.850636	0.564828	0.51176	N/A
30	0.656829	0.000578961	0.773576	0.706932	0.240412	0.100409	0.0632603	0.592402	0.523524	0.716846	0.923153	0.012293	0.888058	0.817618	0.516298	0.668654	0.139194	0.0850227	0.747518	0.370109	0.804819	0.893627	N/A
31	0.00177717	0.661184	0.0999164	0.148296	0.0203811	1.2251e-13	0.0595313	0.0513386	0.151525	0.71173	0.918469	0.760051	0.216062	0.813236	0.921176	0.655442	0.37233	0.0204379	0.910268	0.840047	0.15794	0.688097	N/A
32	0.000516616	0.652375	0.0946723	0.701875	0.254818	1.66197e-10	0.474304	0.589362	0.0779581	0.71173	0.760051	0.133747	0.330851	0.813236	0.00120814	0.655442	0.664966	0.471266	0.910268	0.840047	0.797111	0.889009	N/A
33	0.643161	0.643161	0.22276	0.0183272	0.000697223	1.66197e-10	0.474304	0.589362	0.0779581	0.71173	0.760051	0.610543	0.48282	0.813236	0.921176	0.655442	0.887403	0.887403	0.910268	0.840047	0.668379	0.889009	N/A
34	2.07808e-12	0.235446	0.0412386	0.137815	0.0098275	8.9331e-05	0.46488	0.586285	0.295845	0.332743	0.918469	0.918469	0.88558	0.813236	0.767559	0.655442	0.480493	0.884906	0.910268	0.840047	0.931673	0.889009	N/A
36	6.08232e-34	1.03039e-12	0.367831	0.667826	0.659973	0.00172663	1.37208e-07	0.570332	0.0734307	6.42991e-06	1.71601e-05	3.42861e-05	0.000811371	0.158669	0.0136395	0.646115	0.276936	0.901199	0.576295	0.200844	0.0625088	0.362461	N/A
37	0.628534	0.00566469	0.00962441	0.279925	0.650857	0.00138971	0.00636459	0.576829	0.278056	0.0180713	0.0202568	0.109256	0.882926	0.505715	0.120281	0.668654	0.106238	0.166902	0.243187	0.370109	0.467701	0.699383	N/A
38	0.00129096	0.647819	0.0356338	0.0359216	0.225422	0.0203811	0.0485476	0.580019	0.268792	0.695278	0.468288	0.126244	0.876999	0.798366	0.0946674	0.650832	9.36122e-09	0.000836626	0.426903	0.83603	0.0832696	0.353353	N/A
39	0.628534	0.0789117	0.379545	0.673978	0.209818	4.02545e-05	0.422482	0.5736	0.249496	0.683312	0.0458862	0.28572	0.0547064	0.786758	5.24792e-30	0.664351	0.148399	0.0436712	0.0613024	0.0493976	0.175178	0.20021	N/A
40	0.0240365	0.00934085	0.440393	0.706932	0.659973	0.104231	0.483314	0.592402	0.81759	0.716846	0.916706	0.602954	0.000961062	0.53188	0.482591	0.650832	0.633305	0.869258	0.146591	0.83603	0.328028	0.47616	N/A
42	2.75584e-06	0.601812	3.26376e-06	3.58706e-05	9.58054e-11	0.000558088	2.77993e-09	0.570332	0.287072	6.42991e-06	8.21583e-05	0.0405825	7.74152e-26	0.000542089	0.746299	0.636345	0.048594	0.417298	0.0026877	0.54219	0.512762	0.455407	N/A
45	5.39814e-42	0.000404785	0.192217	0.0332617	0.0119037	1.99255e-15	0.00038848	8.81427e-05	0.439481	0.670467	0.689988	0.00238662	0.861778	0.773506	0.896594	0.604131	0.534372	0.11681	0.494993	0.129278	0.000315697	0.0185385	N/A
46	0.628534	1.60098e-12	0.00962441	0.279925	7.27556e-06	0.677001	1.58998e-08	0.576829	0.000730797	0.000140473	0.0550598	0.00309717	0.000811371	0.523578	0.0226223	0.626108	0.602769	0.391237	0.00681335	0.521322	0.490869	0.432232	N/A
48	9.57203e-07	0.00566469	0.739391	0.673978	0.201777	0.0810155	0.763876	0.5736	0.786728	0.683312	0.724644	0.557127	0.169996	0.786758	0.733225	0.626108	0.429274	0.633305	0.519455	0.811034	0.621622	0.870302	N/A
51	0.612871	0.612871	0.725507	0.249851	0.00596627	1.08895e-06	0.750126	0.567024	0.239454	0.275065	0.905739	0.557127	0.169996	0.464017	0.908931	0.626108	0.86528	0.86528	0.519455	0.811034	0.921238	0.870302	N/A
52	7.50791e-07	0.00512942	0.367831	0.667826	0.193571	0.62613	0.0836395	0.570332	0.780324	0.677004	0.905739	0.724644	0.419709	0.780356	0.733225	0.626108	0.623904	0.86528	0.896005	0.811034	0.921238	0.870302	N/A
53	0.0712239	0.181084	0.355598	0.661466	0.0131993	0.185195	0.0773623	0.567024	0.773474	0.670467	0.557127	0.295515	0.861778	0.773506	0.908931	0.626108	0.86528	0.417298	0.699008	0.811034	0.921238	0.870302	N/A
54	0.0113323	0.00412961	0.718006	0.654889	0.185195	0.0731329	0.384814	0.563675	0.773474	0.264394	0.414009	0.414009	0.000238096	0.0556054	0.0127098	0.626108	0.00241059	0.0231588	0.519455	0.811034	0.921238	0.870302	N/A
55	0.0750756	0.623432	0.732628	0.667826	0.00540347	0.0145447	0.0380876	0.570332	0.780324	0.677004	0.905739	0.724644	0.419709	0.780356	0.733225	0.626108	0.86528	0.623904	0.896005	0.811034	0.921238	0.870302	N/A
