#FamilyID	Likelihood of Family
0	-37.9389
1	-32.953
2	-146.124
3	-32.7129
4	-44.185
5	-74.2258
6	-32.636
7	-38.6307
8	-55.4755
9	-106.694
10	-38.6148
11	-54.568
12	-56.3828
13	-62.7141
14	-43.0174
15	-191.265
16	-101.714
17	-176.434
18	-41.7231
19	-45.8348
20	-122.664
21	-188.639
22	-68.8436
23	-139.833
24	-28.282
25	-31.1224
26	-29.163
27	-31.771
28	-32.6788
29	-39.2913
30	-40.4625
31	-74.0418
32	-62.5022
33	-55.8077
34	-67.3713
35	-31.1097
36	-191.693
37	-54.6132
38	-69.8774
39	-114.174
40	-40.3418
41	-28.2966
42	-190.501
43	-33.891
44	-34.7645
45	-195.102
46	-114.937
47	-30.1146
48	-43.9208
49	-30.5793
50	-26.8221
51	-42.7792
52	-43.9358
53	-34.4647
54	-55.6388
55	-34.0278
56	-25.5015
57	-34.5988
58	-75.0114
59	-87.1126
60	-40.9599
61	-28.4331
62	-38.3918
63	-77.1687
64	-35.0234
65	-59.213
66	-88.3022
67	-30.4271
68	-166.307
69	-44.2339
70	-26.1081
71	-80.638
72	-86.8623
73	-391.478
74	-35.3817
75	-26.8966
76	-86.8193
77	-170.693
78	-31.4905
79	-82.8901
80	-31.6702
81	-35.7892
82	-28.2434
83	-39.6737
84	-29.0704
85	-28.1725
86	-21.8602
87	-41.1209
88	-49.4017
89	-42.4981
90	-24.7196
91	-27.7442
92	-49.9094
93	-49.1941
94	-42.4358
95	-33.3411
96	-170.121
97	-93.3747
98	-27.9277
99	-38.173
100	-30.2582
101	-91.0709
102	-34.311
103	-81.3575
104	-31.4416
105	-102.28
106	-22.0855
107	-28.9148
108	-38.5351
109	-101.297
110	-38.2889
111	-22.1659
112	-37.1781
113	-27.8584
114	-34.5638
115	-84.4899
116	-60.3231
117	-50.2166
118	-62.5085
119	-142.297
120	-41.4559
121	-29.6033
122	-68.4821
123	-28.1482
124	-26.7241
125	-163.004
126	-22.4197
128	-27.5606
129	-30.9477
130	-61.0444
131	-22.8325
132	-23.7349
133	-180.189
134	-21.2983
135	-24.8566
136	-23.8403
137	-32.8754
138	-127.942
139	-26.7033
140	-34.0668
141	-33.2897
142	-46.4186
143	-27.7626
144	-21.5653
145	-159.509
146	-209.978
147	-35.1003
148	-35.6323
149	-33.8057
150	-66.4664
151	-21.9625
152	-25.7307
153	-36.4049
154	-21.6442
155	-140.609
156	-21.6442
157	-42.7422
158	-22.4483
159	-30.9976
160	-30.1663
161	-136.038
162	-51.4992
163	-104.086
164	-31.364
165	-33.4189
166	-21.8099
167	-24.4421
168	-24.6199
169	-43.243
170	-161.203
171	-19.4726
172	-82.0162
173	-107.672
174	-43.5795
175	-23.6877
176	-25.8352
177	-21.5558
178	-23.3818
179	-136.019
180	-32.1255
