#FamilyID	pvalue	Significant at 0.05
0	0.204	n
1	0.79	n
2	0	y
3	0.786	n
4	0.008	y
5	0	y
6	0.697	n
7	0.054	n
8	0	y
9	0	y
10	0.042	y
11	0	y
12	0	y
13	0	y
14	0.004	y
15	0	y
16	0	y
17	0	y
18	0.007	y
19	0.002	y
20	0	y
21	0	y
22	0	y
23	0	y
24	0.884	n
25	0.499	n
26	0.783	n
27	0.372	n
28	0.253	n
29	0.008	y
30	0.004	y
31	0	y
32	0	y
33	0	y
34	0	y
35	0.381	n
36	0	y
37	0	y
38	0	y
39	0	y
40	0.002	y
41	0.73	n
42	0	y
43	0.09	n
44	0.059	n
45	0	y
46	0	y
47	0.38	n
48	0	y
49	0.29	n
50	0.782	n
51	0.001	y
52	0	y
53	0.04	y
54	0	y
55	0.044	y
56	0.875	n
57	0.032	y
58	0	y
59	0	y
60	0.001	y
61	0.465	n
62	0.007	y
63	0	y
64	0.025	y
65	0	y
66	0	y
67	0.194	n
68	0	y
69	0.001	y
70	0.712	n
71	0	y
72	0	y
73	0	y
74	0.017	y
75	0.57	n
76	0	y
77	0	y
78	0.082	n
79	0	y
80	0.067	n
81	0.008	y
82	0.3	n
83	0.003	y
84	0.222	n
85	0.409	n
86	0.984	n
87	0.002	y
88	0	y
89	0.001	y
90	0.745	n
91	0.373	n
92	0	y
93	0	y
94	0.001	y
95	0.031	y
96	0	y
97	0	y
98	0.32	n
99	0.003	y
100	0.127	n
101	0	y
102	0.013	y
103	0	y
104	0.064	n
105	0	y
106	0.939	n
107	0.193	n
108	0.003	y
109	0	y
110	0.003	y
111	0.928	n
112	0.004	y
113	0.274	n
114	0.012	y
115	0	y
116	0	y
117	0	y
118	0	y
119	0	y
120	0.002	y
121	0.086	n
122	0	y
123	0.17	n
124	0.295	n
125	0	y
126	0.846	n
128	0.205	n
129	0.067	n
130	0	y
131	0.776	n
132	0.622	n
133	0	y
134	0.885	n
135	0.443	n
136	0.622	n
137	0.012	y
138	0	y
139	0.259	n
140	0.006	y
141	0.009	y
142	0	y
143	0.169	n
144	0.87	n
145	0	y
146	0	y
147	0.004	y
148	0.006	y
149	0.005	y
150	0	y
151	0.753	n
152	0.31	n
153	0.003	y
154	0.795	n
155	0	y
156	0.795	n
157	0	y
158	0.665	n
159	0.03	y
160	0.047	y
161	0	y
162	0	y
163	0	y
164	0.02	y
165	0.009	y
166	0.686	n
167	0.395	n
168	0.379	n
169	0.001	y
170	0	y
171	0.939	n
172	0	y
173	0	y
174	0.001	y
175	0.453	n
176	0.21	n
177	0.702	n
178	0.539	n
179	0	y
180	0.01	y
181	0	y
182	0.057	n
183	0.041	y
184	0.838	n
185	0	y
186	0.052	n
187	0.286	n
188	0	y
189	0.59	n
190	0.001	y
191	0.276	n
192	0	y
193	0.162	n
194	0	y
195	0.062	n
196	0.169	n
197	0.906	n
198	0.005	y
200	0	y
201	0	y
202	0	y
203	0.067	n
204	0.51	n
205	0	y
206	0.932	n
207	0.69	n
208	0.073	n
209	0.374	n
210	0.667	n
211	0.932	n
212	0.016	y
213	0.563	n
214	0	y
215	0.808	n
216	0.874	n
217	0	y
218	0.192	n
219	0.929	n
220	0.32	n
221	0.006	y
222	0.033	y
223	0	y
224	0.63	n
225	0.04	y
226	0.181	n
227	0.002	y
228	0.037	y
229	0.261	n
231	0.262	n
232	0.457	n
233	0.175	n
234	0.305	n
235	0.113	n
236	0.693	n
237	0.514	n
238	0.004	y
239	0	y
240	0.086	n
241	0	y
242	0.002	y
243	0.009	y
244	0	y
245	0.006	y
246	0.905	n
247	0.997	n
248	0.715	n
249	0.794	n
250	0.151	n
251	0	y
252	0.776	n
253	0.002	y
254	0.924	n
255	0.989	n
256	0.518	n
257	0	y
258	0.517	n
259	0	y
260	0.947	n
261	0.299	n
262	0.56	n
263	0.999	n
265	0.532	n
266	0.167	n
267	0.875	n
268	0.015	y
269	0.84	n
270	0.033	y
271	0.002	y
272	0.506	n
273	0.224	n
274	0.007	y
275	0.07	n
276	0.417	n
277	0.115	n
278	0.443	n
279	0.403	n
280	0.475	n
281	0	y
282	0.957	n
283	0.038	y
285	0.013	y
286	0	y
287	0	y
288	0	y
289	0	y
290	0	y
291	0	y
292	0.965	n
293	0	y
294	0.861	n
295	0.004	y
296	0	y
297	0.212	n
298	0.193	n
299	0.025	y
300	0	y
301	0.001	y
302	0	y
303	0	y
304	0.002	y
305	0.005	y
306	0.23	n
307	0.089	n
308	0.007	y
309	0	y
310	0.012	y
311	0.524	n
312	0.19	n
313	0.182	n
314	0	y
315	0.196	n
316	0.235	n
317	0.325	n
318	0	y
319	0	y
320	0.627	n
321	0.07	n
322	0.296	n
323	0.006	y
324	0.007	y
325	0	y
326	0.451	n
327	0.153	n
328	0.263	n
329	0	y
330	0.214	n
331	0.898	n
332	0.725	n
333	0.907	n
334	0.002	y
335	0	y
336	0.001	y
337	0.731	n
338	0.865	n
339	0.148	n
340	0.328	n
341	0.941	n
342	0	y
343	0.57	n
344	0.003	y
345	0.291	n
346	0	y
347	0.001	y
348	0.404	n
349	0.019	y
350	0.508	n
351	0.998	n
352	0	y
353	0	y
354	0.564	n
355	0.013	y
356	0.921	n
357	0.647	n
358	0.96	n
359	0.002	y
360	0	y
361	0.865	n
362	0	y
363	0.993	n
364	0.38	n
365	0.875	n
366	0	y
367	0.835	n
368	0.001	y
369	0.084	n
370	0	y
371	0.261	n
372	0.599	n
373	0.999	n
374	0.835	n
375	0.729	n
376	0.876	n
377	0	y
378	0.999	n
379	0.07	n
380	0.691	n
381	0.418	n
382	0.543	n
383	0.996	n
384	0.481	n
385	0.46	n
386	0.156	n
387	0	y
388	0.756	n
389	0	y
391	0.007	y
392	0.235	n
393	0.633	n
394	0	y
395	0	y
396	0.001	y
397	0.106	n
398	0.657	n
399	0	y
400	0.092	n
401	0	y
402	0.001	y
403	0.988	n
404	0.001	y
405	0	y
406	0.531	n
407	0	y
408	0.15	n
409	0.001	y
410	0.111	n
411	0.721	n
412	0	y
413	0	y
414	0.003	y
415	0	y
416	0	y
417	0.001	y
418	0.07	n
419	0	y
420	0	y
421	0.58	n
422	0.068	n
423	0.044	y
424	0.001	y
425	0.062	n
426	0.104	n
427	0.167	n
428	0.029	y
429	0	y
430	0	y
431	0.033	y
432	0	y
433	0.746	n
434	0	y
435	0.788	n
436	0.111	n
437	0	y
438	0	y
439	0	y
440	0	y
441	0	y
442	0	y
443	0.003	y
444	0.082	n
445	0.026	y
446	0	y
447	0	y
448	0.038	y
449	0.196	n
450	0.017	y
451	0.304	n
452	0.063	n
453	0	y
454	0	y
455	0.692	n
456	0	y
457	0.048	y
458	0.033	y
459	0.51	n
460	0.168	n
461	0.188	n
462	0.959	n
463	0.091	n
464	0.146	n
465	0.026	y
466	0.308	n
467	0.074	n
468	0.161	n
469	0.549	n
470	0.452	n
471	0.911	n
472	0.835	n
473	0	y
474	0.067	n
475	0.328	n
476	0.577	n
477	0.998	n
478	0.375	n
479	0.189	n
480	0.1	n
481	0.165	n
482	0.578	n
483	0	y
484	0.499	n
485	0.369	n
486	0.374	n
487	0	y
488	0	y
489	0.44	n
490	0.016	y
491	0.425	n
492	0.001	y
493	0.925	n
494	0.001	y
495	0	y
496	0.231	n
497	0.07	n
498	0.633	n
499	0.01	y
500	0.902	n
501	0.145	n
502	0	y
503	0.577	n
